Sample,Family ID,Population,Gender
HG03381,SL30,MSL,female
HG03382,SL26,MSL,male
HG03383,HG03383,MSL,female
HG03384,SL26,MSL,female
HG03385,SL27,MSL,male
HG03388,SL28,MSL,male
HG03390,SL28,MSL,male
HG03391,SL29,MSL,male
HG03393,HG03393,MSL,female
HG03394,SL30,MSL,male
HG03397,HG03397,MSL,male
HG03398,HG03398,MSL,female
HG03399,SL26,MSL,male
HG03401,SL32,MSL,female
HG03402,SL32,MSL,female
HG03408,SL34,MSL,male
HG03410,SL35,MSL,female
HG03411,SL35,MSL,female
HG03419,SL38,MSL,female
HG03428,SL42,MSL,female
HG03431,HG03431,MSL,female
HG03432,HG03432,MSL,male
HG03433,HG03433,MSL,male
HG03436,HG03436,MSL,male
HG03437,HG03437,MSL,female
HG03438,SL56,MSL,female
HG03439,SL46,MSL,male
HG03442,HG03442,MSL,male
HG03445,HG03445,MSL,male
HG03446,HG03446,MSL,female
HG03449,SL49,MSL,female
HG03450,SL49,MSL,female
HG03451,SL50,MSL,male
HG03452,SL50,MSL,female
HG03453,SL50,MSL,female
HG03454,SL51,MSL,male
HG03455,SL51,MSL,female
HG03456,SL51,MSL,male
HG03457,HG03457,MSL,male
HG03458,SL52,MSL,female
HG03459,SL52,MSL,male
HG03460,HG03460,MSL,male
HG03461,HG03461,MSL,female
HG03462,HG03462,MSL,male
HG03464,SL54,MSL,female
HG03465,SL54,MSL,male
HG03466,SL50i,MSL,male
HG03468,SL50i,MSL,male
HG03469,SL56i,MSL,male
HG03470,SL56,MSL,female
HG03471,SL56i,MSL,male
HG03472,HG03472,MSL,male
HG03473,SL57,MSL,female
HG03474,SL57,MSL,male
HG03476,SL58,MSL,female
HG03477,SL58,MSL,male
HG03478,SL59,MSL,male
HG03479,SL59,MSL,female
HG03480,SL59,MSL,female
HG03484,SL61,MSL,male
HG03485,SL61,MSL,female
HG03486,SL61,MSL,female
HG03487,PK42,PJL,male
HG03488,PK42,PJL,female
HG03489,PK42,PJL,male
HG03490,PK43,PJL,male
HG03491,PK43,PJL,female
HG03492,PK43,PJL,male
HG03493,NG100,ESN,female
HG03499,NG102,ESN,female
HG03508,NG105,ESN,female
HG03510,NG105,ESN,female
HG03511,NG106,ESN,female
HG03513,NG106,ESN,male
HG03514,NG107,ESN,female
HG03515,NG107,ESN,male
HG03516,NG107,ESN,female
HG03517,NG108,ESN,female
HG03518,NG108,ESN,male
HG03519,NG108,ESN,male
HG03520,NG109,ESN,female
HG03521,NG109,ESN,male
HG03522,NG109,ESN,female
HG03538,GB125,GWD,male
HG03539,GB125,GWD,female
HG03540,GB125,GWD,female
HG03547,HG03547,MSL,male
HG03548,HG03548,MSL,female
HG03549,HG03549,MSL,female
HG03556,HG03556,MSL,male
HG03557,HG03557,MSL,female
HG03558,HG03558,MSL,female
HG03559,SL66,MSL,male
HG03563,SL67,MSL,female
HG03564,SL67,MSL,female
HG03565,HG03565,MSL,male
HG03566,HG03566,MSL,female
HG03567,HG03567,MSL,female
HG03569,SL69,MSL,female
HG03571,SL70,MSL,male
HG03572,SL70,MSL,female
HG03574,SL71,MSL,male
HG03575,SL71,MSL,female
HG03576,SL71,MSL,female
HG03577,SL72,MSL,male
HG03578,SL72,MSL,female
HG03579,SL72,MSL,male
HG03582,SL73,MSL,male
HG03583,SL73,MSL,female
HG03584,SL73,MSL,female
HG03585,BD4,BEB,male
HG03587,BD4,BEB,female
HG03589,BD05,BEB,female
HG03590,BD05,BEB,male
HG03593,BD6,BEB,male
HG03594,BD7,BEB,male
HG03595,BD7,BEB,female
HG03596,BD7,BEB,male
HG03598,BD8,BEB,female
HG03599,BD8,BEB,female
HG03600,BD09,BEB,male
HG03602,BD09,BEB,male
HG03603,BD10,BEB,male
HG03604,BD10,BEB,female
HG03605,BD11,BEB,female
HG03606,BD11,BEB,male
HG03607,BD11,BEB,female
HG03611,BD12,BEB,female
HG03615,BD14,BEB,male
HG03616,BD14,BEB,female
HG03617,BD14,BEB,female
HG03618,PK44,PJL,male
HG03619,PK44,PJL,female
HG03620,PK44,PJL,female
HG03621,PK45,PJL,male
HG03624,PK46,PJL,male
HG03625,PK46,PJL,female
HG03626,PK46,PJL,female
HG03629,PK47,PJL,male
HG03631,PK48,PJL,female
HG03633,PK49,PJL,male
HG03634,PK49,PJL,female
HG03635,PK49,PJL,female
HG03636,PK50,PJL,male
HG03638,PK50,PJL,female
HG03639,PK51,PJL,male
HG03640,PK51,PJL,female
HG03641,PK51,PJL,male
HG03642,ST006,STU,female
HG03643,ST004,STU,female
HG03644,ST004,STU,male
HG03645,ST002,STU,female
HG03646,ST001,STU,male
HG03649,PK52,PJL,male
HG03650,PK52,PJL,female
HG03651,PK52,PJL,male
HG03652,PK53,PJL,male
HG03653,PK53,PJL,female
HG03654,PK53,PJL,male
HG03656,PK54,PJL,female
HG03657,PK54,PJL,male
HG03660,PK55,PJL,male
HG03663,PK56,PJL,male
HG03667,PK58,PJL,male
HG03668,PK58,PJL,female
HG03669,PK58,PJL,female
HG03672,ST008,STU,male
HG03673,ST010,STU,female
HG03679,ST006,STU,male
HG03680,ST009,STU,male
HG03681,ST011,STU,male
HG03682,ST012,STU,male
HG03683,ST012,STU,female
HG03684,ST012,STU,female
HG03685,ST013,STU,male
HG03686,ST014,STU,male
HG03687,ST015,STU,male
HG03688,ST016,STU,male
HG03689,ST017,STU,female
HG03690,ST018,STU,female
HG03691,ST019,STU,male
HG03692,ST020,STU,female
HG03693,ST021,STU,male
HG03694,ST022,STU,male
HG03695,ST023,STU,male
HG03696,ST024,STU,male
HG03697,ST025,STU,male
HG03698,ST026,STU,female
HG03699,PK59,PJL,male
HG03700,PK59,PJL,female
HG03701,PK59,PJL,male
HG03702,PK60,PJL,male
HG03703,PK60,PJL,female
HG03704,PK60,PJL,female
HG03705,PK61,PJL,male
HG03706,PK61,PJL,female
HG03707,PK61,PJL,male
HG03708,PK62,PJL,male
HG03709,PK62,PJL,female
HG03710,PK62,PJL,male
HG03711,ST027,STU,male
HG03713,IT001,ITU,male
HG03714,IT009,ITU,female
HG03715,IT001,ITU,male
HG03716,IT009,ITU,male
HG03717,IT010,ITU,female
HG03718,IT010,ITU,male
HG03719,IT002,ITU,female
HG03720,IT052,ITU,male
HG03721,IT003,ITU,female
HG03722,IT002,ITU,female
HG03723,IT012,ITU,female
HG03725,IT002,ITU,male
HG03727,IT003,ITU,male
HG03729,IT013,ITU,male
HG03730,IT011,ITU,female
HG03731,IT013,ITU,female
HG03732,IT003,ITU,male
HG03733,ST041,STU,female
HG03736,ST043,STU,female
HG03738,ST044,STU,male
HG03740,ST038,STU,male
HG03741,ST038,STU,female
HG03742,IT015,ITU,male
HG03743,ST046,STU,male
HG03744,ST047,STU,male
HG03745,ST049,STU,male
HG03746,ST050,STU,male
HG03750,ST051,STU,male
HG03752,ST053,STU,female
HG03753,ST054,STU,male
HG03754,ST051,STU,female
HG03755,ST052,STU,male
HG03756,ST052,STU,female
HG03757,ST046,STU,female
HG03760,ST058,STU,female
HG03761,PK63,PJL,male
HG03762,PK63,PJL,female
HG03763,PK63,PJL,male
HG03765,PK64,PJL,female
HG03766,PK64,PJL,male
HG03767,PK65,PJL,male
HG03769,PK65,PJL,male
HG03770,IT016,ITU,female
HG03771,IT016,ITU,male
HG03772,IT004,ITU,female
HG03773,IT004,ITU,male
HG03774,IT020,ITU,female
HG03775,IT020,ITU,male
HG03777,IT022,ITU,male
HG03778,IT21,ITU,male
HG03779,IT019,ITU,male
HG03780,IT039,ITU,female
HG03781,IT018,ITU,female
HG03782,IT029,ITU,female
HG03783,IT029,ITU,male
HG03784,IT023,ITU,female
HG03785,IT024,ITU,male
HG03786,IT023,ITU,male
HG03787,IT027,ITU,female
HG03788,IT028,ITU,male
HG03789,IT028,ITU,female
HG03790,IT025,ITU,male
HG03792,IT026,ITU,male
HG03793,BD15,BEB,female
HG03794,BD15,BEB,male
HG03795,BD15,BEB,male
HG03796,BD16,BEB,female
HG03797,BD16,BEB,male
HG03798,BD16,BEB,male
HG03799,BD17,BEB,female
HG03800,BD17,BEB,male
HG03801,BD17,BEB,female
HG03802,BD18,BEB,female
HG03803,BD18,BEB,male
HG03804,BD18,BEB,female
HG03805,BD19,BEB,female
HG03806,BD19,BEB,male
HG03807,BD19,BEB,female
HG03808,BD20,BEB,female
HG03809,BD20,BEB,male
HG03811,BD21,BEB,female
HG03812,HG03812,BEB,male
HG03813,BD21,BEB,female
HG03814,BD22,BEB,female
HG03815,BD22,BEB,male
HG03816,BD22,BEB,female
HG03817,BD23,BEB,female
HG03821,BD24,BEB,male
HG03822,BD24,BEB,male
HG03823,BD25,BEB,female
HG03824,BD25,BEB,male
HG03825,BD25,BEB,female
HG03826,BD26,BEB,female
HG03829,BD27,BEB,female
HG03830,BD27,BEB,male
HG03831,BD27,BEB,female
HG03832,BD28,BEB,female
HG03833,BD28,BEB,male
HG03834,BD28,BEB,female
HG03835,ST024,STU,female
HG03836,ST074,STU,female
HG03837,ST079,STU,male
HG03838,ST078,STU,female
HG03840,ST024,STU,male
HG03842,ST075,STU,female
HG03844,ST075,STU,male
HG03845,ST081,STU,male
HG03846,ST080,STU,male
HG03847,ST083,STU,male
HG03848,ST084,STU,male
HG03849,ST082,STU,female
HG03850,ST082,STU,male
HG03851,ST089,STU,male
HG03854,ST094,STU,male
HG03856,ST092,STU,male
HG03857,ST091,STU,female
HG03858,ST090,STU,female
HG03861,IT032,ITU,female
HG03862,IT035,ITU,female
HG03863,IT033,ITU,female
HG03864,IT034,ITU,male
HG03866,IT030,ITU,male
HG03867,IT038,ITU,male
HG03868,IT5,ITU,female
HG03869,IT035,ITU,male
HG03870,IT037,ITU,male
HG03871,HG03871,ITU,male
HG03872,IT036,ITU,male
HG03873,IT030,ITU,female
HG03874,IT006,ITU,female
HG03875,IT40,ITU,male
HG03876,IT006,ITU,male
HG03879,IT006,ITU,male
HG03882,IT039a,ITU,female
HG03884,ST039,STU,female
HG03885,ST016,STU,male
HG03886,ST016,STU,female
HG03887,ST106,STU,male
HG03888,ST050,STU,female
HG03890,ST110,STU,male
HG03894,ST111,STU,female
HG03895,ST107,STU,female
HG03896,ST111,STU,male
HG03897,ST115,STU,female
HG03898,ST114,STU,female
HG03899,ST114,STU,male
HG03900,ST115,STU,male
HG03901,BD29,BEB,female
HG03902,HG03902,BEB,male
HG03903,BD29,BEB,female
HG03904,BD30,BEB,female
HG03905,BD30,BEB,male
HG03906,BD30,BEB,male
HG03907,BD31,BEB,female
HG03908,BD31,BEB,male
HG03909,BD31,BEB,male
HG03910,BD32,BEB,female
HG03911,BD32,BEB,male
HG03913,BD33,BEB,female
HG03914,BD33,BEB,male
HG03915,BD33,BEB,female
HG03916,HG03916,BEB,female
HG03917,BD34,BEB,male
HG03919,BD35,BEB,female
HG03920,BD35,BEB,male
HG03922,BD36,BEB,female
HG03924,BD36,BEB,female
HG03925,BD37,BEB,female
HG03926,BD37,BEB,male
HG03927,BD37,BEB,female
HG03928,BD38,BEB,female
HG03929,BD38,BEB,male
HG03930,BD38,BEB,female
HG03931,BD39,BEB,female
HG03934,BD40,BEB,female
HG03937,BD41,BEB,female
HG03939,BD41,BEB,female
HG03940,BD42,BEB,female
HG03941,BD42,BEB,male
HG03942,BD42,BEB,male
HG03943,ST116,STU,male
HG03944,ST116,STU,female
HG03945,ST117,STU,female
HG03947,ST118,STU,female
HG03948,ST010,STU,female
HG03949,ST123,STU,female
HG03950,ST090,STU,male
HG03951,ST013,STU,female
HG03953,ST122,STU,male
HG03955,ST119,STU,female
HG03960,IT044,ITU,male
HG03963,IT042,ITU,male
HG03965,IT45,ITU,male
HG03967,IT51,ITU,male
HG03968,IT046,ITU,female
HG03969,IT046,ITU,male
HG03971,IT048,ITU,male
HG03972,IT049,ITU,female
HG03973,IT050,ITU,female
HG03974,IT049,ITU,male
HG03976,IT050,ITU,male
HG03977,IT047,ITU,female
HG03978,IT047,ITU,male
HG03982,ST091,STU,male
HG03985,ST144,STU,male
HG03986,ST106,STU,female
HG03988,ST145,STU,male
HG03989,ST145,STU,female
HG03990,ST142,STU,male
HG03991,ST143,STU,male
HG03992,ST116,STU,male
HG03995,ST021,STU,female
HG03998,ST147,STU,male
HG03999,ST007,STU,male
HG04001,IT053,ITU,female
HG04002,IT053,ITU,male
HG04003,ST152,STU,male
HG04006,ST078,STU,male
HG04014,IT059,ITU,female
HG04015,IT060,ITU,male
HG04017,IT061,ITU,male
HG04018,IT007,ITU,female
HG04019,IT056,ITU,male
HG04020,IT059,ITU,male
HG04022,IT062,ITU,male
HG04023,IT058,ITU,male
HG04024,IT056,ITU,female
HG04025,IT058,ITU,female
HG04026,IT061,ITU,female
HG04029,ST154,STU,female
HG04033,ST076,STU,male
HG04035,ST094,STU,female
HG04036,ST116,STU,female
HG04037,ST169,STU,female
HG04038,ST170,STU,female
HG04039,ST172,STU,male
HG04040,ST010,STU,male
HG04042,ST171,STU,female
HG04047,ST173,STU,female
HG04050,IT177,ITU,female
HG04053,IT178,ITU,male
HG04054,IT180,ITU,female
HG04055,IT179,ITU,male
HG04056,IT180,ITU,male
HG04058,IT184,ITU,male
HG04059,IT184,ITU,female
HG04060,IT183,ITU,male
HG04061,IT182,ITU,male
HG04062,IT182,ITU,female
HG04063,IT183,ITU,female
HG04067,ST116,STU,female
HG04070,IT45,ITU,female
HG04075,ST190,STU,female
HG04076,IT191,ITU,female
HG04080,IT194,ITU,male
HG04090,IT199,ITU,female
HG04093,IT199,ITU,male
HG04094,IT201,ITU,male
HG04096,IT202,ITU,male
HG04098,IT205,ITU,male
HG04099,ST203,STU,female
HG04100,ST203,STU,male
HG04106,ST176,STU,female
HG04107,ST176,STU,male
HG04114,ST120,STU,male
HG04115,ST111,STU,male
HG04118,IT214,ITU,female
HG04122,ST190,STU,male
HG04127,ST190,STU,male
HG04128,BD43,BEB,male
HG04131,BD44,BEB,male
HG04132,BD44,BEB,female
HG04133,BD44,BEB,female
HG04134,BD45,BEB,male
HG04135,BD45,BEB,female
HG04136,BD45,BEB,female
HG04140,BD47,BEB,male
HG04141,BD47,BEB,female
HG04142,BD47,BEB,female
HG04144,BD48,BEB,female
HG04146,BD49,BEB,male
HG04147,BD49,BEB,female
HG04148,BD49,BEB,female
HG04149,BD50,BEB,male
HG04150,BD50,BEB,female
HG04151,BD50,BEB,female
HG04152,BD51,BEB,male
HG04153,BD51,BEB,female
HG04155,BD52,BEB,male
HG04156,BD52,BEB,female
HG04157,BD52,BEB,male
HG04158,BD53,BEB,male
HG04159,BD53,BEB,female
HG04160,BD53,BEB,male
HG04161,BD54,BEB,male
HG04162,BD54,BEB,female
HG04164,BD55,BEB,male
HG04171,BD57,BEB,female
HG04173,BD58,BEB,male
HG04174,BD58,BEB,female
HG04175,BD58,BEB,female
HG04176,BD59,BEB,male
HG04177,BD59,BEB,female
HG04180,BD60,BEB,female
HG04181,BD60,BEB,female
HG04182,BD61,BEB,male
HG04183,BD61,BEB,female
HG04184,BD61,BEB,female
HG04185,BD62,BEB,male
HG04186,BD62,BEB,female
HG04187,BD62,BEB,male
HG04188,BD63,BEB,male
HG04189,BD63,BEB,female
HG04191,BD64,BEB,male
HG04192,BD64,BEB,female
HG04193,BD64,BEB,male
HG04194,BD65,BEB,male
HG04195,BD65,BEB,female
HG04197,ST154,STU,female
HG04198,IT220,ITU,male
HG04199,ST203,STU,male
HG04200,IT220,ITU,female
HG04202,IT222,ITU,female
HG04204,ST006,STU,male
HG04206,HG04206,ITU,male
HG04208,ST186,STU,female
HG04209,IT217,ITU,female
HG04210,ST186,STU,male
HG04211,IT223,ITU,male
HG04212,IT223,ITU,female
HG04214,IT226,ITU,female
HG04215,ST006,STU,male
HG04216,IT227,ITU,female
HG04217,IT220,ITU,female
HG04219,IT228,ITU,male
HG04222,IT225,ITU,male
HG04225,IT231,ITU,male
HG04227,ST232,STU,female
HG04228,ST232,STU,male
HG04229,ST232,STU,male
HG04235,IT237,ITU,male
HG04238,IT240,ITU,male
HG04239,HG04239,ITU,male
HG04301,HG04301,GBR,female
HG04302,HG04302,GBR,male
HG04303,HG04303,GBR,female
NA06984,1328,CEU,male
NA06985,1341,CEU,female
NA06986,13291,CEU,male
NA06989,1328,CEU,female
NA06991,1341,CEU,female
NA06993,1341,CEU,male
NA06994,1340,CEU,male
NA06995,13291,CEU,male
NA06997,13291,CEU,female
NA07000,1340,CEU,female
NA07014,13292,CEU,female
NA07019,1340,CEU,female
NA07022,1340,CEU,male
NA07029,1340,CEU,male
NA07031,13292,CEU,female
NA07034,1341,CEU,male
NA07037,13291,CEU,female
NA07045,13291,CEU,female
NA07048,1341,CEU,male
NA07051,13292,CEU,male
NA07055,1341,CEU,female
NA07056,1340,CEU,female
NA07340,1331,CEU,female
NA07345,1345,CEU,female
NA07346,1345,CEU,female
NA07347,1345,CEU,male
NA07348,1345,CEU,female
NA07349,1345,CEU,male
NA07357,1345,CEU,male
NA07435,13291,CEU,male
NA10830,1408,CEU,male
NA10831,1408,CEU,female
NA10835,1416,CEU,male
NA10836,1418,CEU,female
NA10837,1418,CEU,male
NA10838,1420,CEU,male
NA10839,1420,CEU,female
NA10840,1421,CEU,female
NA10842,1423,CEU,male
NA10843,1423,CEU,female
NA10845,1424,CEU,male
NA10846,1334,CEU,male
NA10847,1334,CEU,female
NA10850,1344,CEU,female
NA10851,1344,CEU,male
NA10852,1346,CEU,female
NA10853,1349,CEU,male
NA10854,1349,CEU,female
NA10855,1350,CEU,female
NA10856,1350,CEU,male
NA10857,1346,CEU,male
NA10859,1347,CEU,female
NA10860,1362,CEU,male
NA10861,1362,CEU,female
NA10863,1375,CEU,female
NA10864,1377,CEU,female
NA10865,1377,CEU,male
NA11829,1350,CEU,male
NA11830,1350,CEU,female
NA11831,1350,CEU,male
NA11832,1350,CEU,female
NA11839,1349,CEU,male
NA11840,1349,CEU,female
NA11843,1349,CEU,male
NA11881,1347,CEU,male
NA11882,1347,CEU,female
NA11891,1377,CEU,male
NA11892,1377,CEU,female
NA11893,1377,CEU,male
NA11894,1377,CEU,female
NA11917,1423,CEU,male
NA11918,1423,CEU,female
NA11919,1423,CEU,male
NA11920,1423,CEU,female
NA11930,1424,CEU,male
NA11931,1424,CEU,female
NA11932,1424a,CEU,male
NA11933,1424a,CEU,female
NA11992,1362,CEU,male
NA11993,1362,CEU,female
NA11994,1362,CEU,male
NA11995,1362,CEU,female
NA12003,1420,CEU,male
NA12004,1420,CEU,female
NA12005,1420,CEU,male
NA12006,1420,CEU,female
NA12043,1346,CEU,male
NA12044,1346,CEU,female
NA12045,1346,CEU,male
NA12046,1346,CEU,female
NA12056,1344,CEU,male
NA12057,1344,CEU,female
NA12058,1344,CEU,female
NA12144,1334,CEU,male
NA12145,1334,CEU,female
NA12146,1334,CEU,male
NA12154,1408,CEU,male
NA12155,1408,CEU,male
NA12156,1408,CEU,female
NA12234,1375,CEU,female
NA12239,1334,CEU,female
NA12248,1416,CEU,male
NA12249,1416,CEU,female
NA12264,1375,CEU,male
NA12272,1418,CEU,male
NA12273,1418,CEU,female
NA12274,1418,CEU,male
NA12275,1418,CEU,female
NA12282,1421a,CEU,male
NA12283,1421a,CEU,female
NA12286,1421,CEU,male
NA12287,1421,CEU,female
NA12329,1328,CEU,female
NA12335,1330,CEU,male
NA12336,1330,CEU,female
NA12340,1330,CEU,male
NA12341,1330,CEU,female
NA12342,1330,CEU,male
NA12343,1330,CEU,female
NA12344,13281,CEU,male
NA12347,13281,CEU,male
NA12348,13281,CEU,female
NA12375,1353,CEU,male
NA12376,1353,CEU,female
NA12383,1353,CEU,female
NA12386,1354,CEU,female
NA12399,1354,CEU,male
NA12400,1354,CEU,female
NA12413,1355,CEU,male
NA12414,1355,CEU,female
NA12485,1355,CEU,male
NA12489,1353,CEU,female
NA12546,1353,CEU,male
NA12707,1358,CEU,male
NA12708,1358,CEU,female
NA12716,1358,CEU,male
NA12717,1358,CEU,female
NA12718,1358,CEU,female
NA12739,1444,CEU,male
NA12740,1444,CEU,female
NA12748,1444,CEU,male
NA12749,1444,CEU,female
NA12750,1444,CEU,male
NA12751,1444,CEU,female
NA12752,1447,CEU,male
NA12753,1447,CEU,female
NA12760,1447,CEU,male
NA12761,1447,CEU,female
NA12762,1447,CEU,male
NA12763,1447,CEU,female
NA12766,1451,CEU,male
NA12767,1451,CEU,female
NA12775,1451,CEU,male
NA12776,1451,CEU,female
NA12777,1451,CEU,male
NA12778,1451,CEU,female
NA12801,1454,CEU,male
NA12802,1454,CEU,female
NA12812,1454,CEU,male
NA12813,1454,CEU,female
NA12814,1454,CEU,male
NA12815,1454,CEU,female
NA12817,1456,CEU,male
NA12818,1456,CEU,female
NA12827,1456,CEU,male
NA12828,1456,CEU,female
NA12829,1456,CEU,male
NA12830,1456,CEU,female
NA12832,1458,CEU,female
NA12842,1458,CEU,male
NA12843,1458,CEU,female
NA12864,1459,CEU,male
NA12865,1459,CEU,female
NA12872,1459,CEU,male
NA12873,1459,CEU,female
NA12874,1459,CEU,male
NA12875,1459,CEU,female
NA12877,1463,CEU,male
NA12878,1463,CEU,female
NA12889,1463,CEU,male
NA12890,1463,CEU,female
NA12891,1463,CEU,male
NA12892,1463,CEU,female
NA18484,Y001,YRI,female
NA18485,Y002,YRI,male
NA18486,Y001,YRI,male
NA18487,Y002,YRI,male
NA18488,Y001,YRI,female
NA18489,Y002,YRI,female
NA18497,Y003,YRI,male
NA18498,Y003,YRI,male
NA18499,Y003,YRI,female
NA18500,Y004,YRI,male
NA18501,Y004,YRI,male
NA18502,Y004,YRI,female
NA18503,Y005,YRI,male
NA18504,Y005,YRI,male
NA18505,Y005,YRI,female
NA18506,Y009,YRI,male
NA18507,Y009,YRI,male
NA18508,Y009,YRI,female
NA18509,Y010,YRI,male
NA18510,Y010a,YRI,male
NA18511,Y010,YRI,female
NA18515,Y013,YRI,male
NA18516,Y013,YRI,male
NA18517,Y013,YRI,female
NA18518,Y014,YRI,female
NA18519,Y014,YRI,male
NA18520,Y014,YRI,female
NA18521,Y016,YRI,male
NA18522,Y016,YRI,male
NA18523,Y016,YRI,female
NA18525,NA18525,CHB,female
NA18526,NA18526,CHB,female
NA18527,NA18527,CHB,female
NA18528,NA18528,CHB,female
NA18530,NA18530,CHB,male
NA18531,NA18531,CHB,female
NA18532,NA18532,CHB,female
NA18533,NA18533,CHB,female
NA18534,NA18534,CHB,male
NA18535,NA18535,CHB,female
NA18536,NA18536,CHB,male
NA18537,NA18537,CHB,female
NA18538,NA18538,CHB,female
NA18539,NA18539,CHB,female
NA18541,NA18541,CHB,female
NA18542,NA18542,CHB,female
NA18543,NA18543,CHB,male
NA18544,NA18544,CHB,male
NA18545,NA18545,CHB,female
NA18546,NA18546,CHB,male
NA18547,NA18547,CHB,female
NA18548,NA18548,CHB,male
NA18549,NA18549,CHB,male
NA18550,NA18550,CHB,female
NA18552,NA18552,CHB,female
NA18553,NA18553,CHB,female
NA18555,NA18555,CHB,female
NA18557,NA18557,CHB,male
NA18558,NA18558,CHB,male
NA18559,NA18559,CHB,male
NA18560,NA18560,CHB,female
NA18561,NA18561,CHB,male
NA18562,NA18562,CHB,male
NA18563,NA18563,CHB,male
NA18564,NA18564,CHB,female
NA18565,NA18565,CHB,female
NA18566,NA18566,CHB,female
NA18567,NA18567,CHB,female
NA18570,NA18570,CHB,female
NA18571,NA18571,CHB,female
NA18572,NA18572,CHB,male
NA18573,NA18573,CHB,female
NA18574,NA18574,CHB,female
NA18576,NA18576,CHB,female
NA18577,NA18577,CHB,female
NA18579,NA18579,CHB,female
NA18582,NA18582,CHB,female
NA18591,NA18591,CHB,female
NA18592,NA18592,CHB,female
NA18593,NA18593,CHB,female
NA18595,NA18595,CHB,female
NA18596,NA18596,CHB,female
NA18597,NA18597,CHB,female
NA18599,NA18599,CHB,female
NA18602,NA18602,CHB,female
NA18603,NA18603,CHB,male
NA18605,NA18605,CHB,male
NA18606,NA18606,CHB,male
NA18608,NA18608,CHB,male
NA18609,NA18609,CHB,male
NA18610,NA18610,CHB,female
NA18611,NA18611,CHB,male
NA18612,NA18612,CHB,male
NA18613,NA18613,CHB,male
NA18614,NA18614,CHB,female
NA18615,NA18615,CHB,female
NA18616,NA18616,CHB,female
NA18617,NA18617,CHB,female
NA18618,NA18618,CHB,female
NA18619,NA18619,CHB,female
NA18620,NA18620,CHB,male
NA18621,NA18621,CHB,male
NA18622,NA18622,CHB,male
NA18623,NA18623,CHB,male
NA18624,NA18624,CHB,male
NA18625,NA18625,CHB,female
NA18626,NA18626,CHB,female
NA18627,NA18627,CHB,female
NA18628,NA18628,CHB,female
NA18629,NA18629,CHB,male
NA18630,NA18630,CHB,female
NA18631,NA18631,CHB,female
NA18632,NA18632,CHB,male
NA18633,NA18633,CHB,male
NA18634,NA18634,CHB,female
NA18635,NA18635,CHB,male
NA18636,NA18636,CHB,male
NA18637,NA18637,CHB,male
NA18638,NA18638,CHB,male
NA18639,NA18639,CHB,male
NA18640,NA18640,CHB,female
NA18641,NA18641,CHB,female
NA18642,NA18642,CHB,female
NA18643,NA18643,CHB,male
NA18644,NA18644,CHB,female
NA18645,NA18645,CHB,male
NA18646,NA18646,CHB,female
NA18647,NA18647,CHB,male
NA18648,NA18648,CHB,male
NA18740,NA18740,CHB,male
NA18745,NA18745,CHB,male
NA18747,NA18747,CHB,male
NA18748,NA18748,CHB,male
NA18749,NA18749,CHB,male
NA18757,NA18757,CHB,male
NA18791,NA18791,CHB,male
NA18794,NA18794,CHB,male
NA18795,NA18795,CHB,female
NA18852,Y018,YRI,female
NA18853,Y018,YRI,male
NA18854,Y018,YRI,male
NA18855,Y023,YRI,female
NA18856,Y023,YRI,male
NA18857,Y023,YRI,male
NA18858,Y012,YRI,female
NA18859,Y012,YRI,male
NA18860,Y012,YRI,male
NA18861,Y024,YRI,female
NA18862,Y024,YRI,male
NA18863,Y024,YRI,male
NA18864,Y026,YRI,female
NA18865,Y026,YRI,male
NA18867,Y007,YRI,female
NA18868,Y007,YRI,male
NA18869,Y007,YRI,male
NA18870,Y017,YRI,female
NA18871,Y017,YRI,male
NA18872,Y017,YRI,male
NA18873,Y019,YRI,female
NA18874,Y019,YRI,male
NA18875,Y019,YRI,female
NA18876,Y020,YRI,female
NA18877,Y020,YRI,male
NA18878,Y021,YRI,female
NA18879,Y021,YRI,male
NA18881,Y022,YRI,female
NA18906,Y020,YRI,female
NA18907,Y025,YRI,female
NA18908,Y025a,YRI,male
NA18909,Y027,YRI,female
NA18910,Y027,YRI,male
NA18911,Y027,YRI,male
NA18912,Y028,YRI,female
NA18913,Y028,YRI,male
NA18914,Y028,YRI,male
NA18915,Y029,YRI,male
NA18916,Y030,YRI,female
NA18917,Y030,YRI,male
NA18923,Y033,YRI,male
NA18924,Y033,YRI,female
NA18925,Y033,YRI,male
NA18930,Y030,YRI,female
NA18933,Y036,YRI,female
NA18934,Y036,YRI,male
NA18935,Y036,YRI,male
NA18939,NA18939,JPT,female
NA18940,NA18940,JPT,male
NA18941,NA18941,JPT,female
NA18942,NA18942,JPT,female
NA18943,NA18943,JPT,male
NA18944,NA18944,JPT,male
NA18945,NA18945,JPT,male
NA18946,NA18946,JPT,female
NA18947,NA18947,JPT,female
NA18948,NA18948,JPT,male
NA18949,NA18949,JPT,female
NA18950,NA18950,JPT,female
NA18951,NA18951,JPT,female
NA18952,NA18952,JPT,male
NA18953,NA18953,JPT,male
NA18954,NA18954,JPT,female
NA18955,NA18955,JPT,male
NA18956,NA18956,JPT,female
NA18957,NA18957,JPT,female
NA18959,NA18959,JPT,male
NA18960,NA18960,JPT,male
NA18961,NA18961,JPT,male
NA18962,NA18962,JPT,male
NA18963,NA18963,JPT,female
NA18964,NA18964,JPT,female
NA18965,NA18965,JPT,male
